event_id_cnty,event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,admin2,location,latitude,longitude,fatalities
KEN3151,2012-02-27,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),Kalenjin Ethnic Militia (Kenya),Kenya,Siaya,Alego Usonga,Magombe Central,0.0833,34.0667,5
KEN3140,2012-02-24,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),Kalenjin Ethnic Militia (Kenya),Kenya,Siaya,Alego Usonga,Magombe Central,0.0833,34.0667,0
KEN3148,2012-02-26,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),Kalenjin Ethnic Militia (Kenya),Kenya,Siaya,Alego Usonga,Magombe Central,0.0833,34.0667,0
KEN3131,2012-02-15,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN3139,2012-02-22,2012,Riots,Violent demonstration,Rioters (Kenya),,Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN3161,2012-03-09,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN3162,2012-03-10,2012,Explosions/Remote violence,Grenade,Al Shabaab,Civilians (Kenya),Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,9
KEN3168,2012-03-15,2012,Strategic developments,Change to group/activity,Al Shabaab,,Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN3169,2012-03-21,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN3183,2012-04-09,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN3200,2012-04-25,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN3201,2012-04-29,2012,Explosions/Remote violence,Grenade,Al Shabaab,Civilians (Kenya),Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,2
KEN3138,2012-02-22,2012,Riots,Violent demonstration,Rioters (Kenya),,Kenya,Mombasa,Mvita,Mombasa,-4.0547,39.6636,0
KEN3158,2012-03-06,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Mombasa,Mvita,Mombasa,-4.0547,39.6636,0
KEN3178,2012-03-31,2012,Explosions/Remote violence,Grenade,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Mombasa,Mvita,Mombasa,-4.0547,39.6636,0
KEN3185,2012-04-11,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Mombasa,Likoni,Likoni,-4.0839,39.6616,1
KEN3198,2012-04-24,2012,Riots,Violent demonstration,Police Forces of Kenya (2002-2013),Rioters (Kenya),Kenya,Mombasa,Mvita,Mombasa,-4.0547,39.6636,1
KEN3199,2012-04-25,2012,Strategic developments,Change to group/activity,MRC: Mombasa Republican Council,,Kenya,Mombasa,Mvita,Mombasa,-4.0547,39.6636,0
KEN7944,2012-02-23,2012,Riots,Mob violence,Rioters (Kenya),Civilians (Kenya),Kenya,Mombasa,Likoni,Likoni,-4.0839,39.6616,0
KEN3141,2012-02-24,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),Kalenjin Ethnic Militia (Kenya),Kenya,Kisumu,Muhoroni,Muhoroni,-0.1567,35.1984,0
KEN3144,2012-02-25,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),Kalenjin Ethnic Militia (Kenya),Kenya,Kisumu,Muhoroni,Muhoroni,-0.1567,35.1984,0
KEN3149,2012-02-26,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),Kalenjin Ethnic Militia (Kenya),Kenya,Kisumu,Muhoroni,Muhoroni,-0.1567,35.1984,0
KEN3152,2012-02-27,2012,Battles,Armed clash,Luo Ethnic Militia (Kenya),Kalenjin Ethnic Militia (Kenya),Kenya,Kisumu,Muhoroni,Muhoroni,-0.1567,35.1984,0
KEN3203,2012-05-06,2012,Riots,Violent demonstration,Rioters (Kenya),Police Forces of Kenya (2002-2013),Kenya,Vihiga,Sabatia,Sabatia,0.1321,34.7934,0
KEN3167,2012-03-14,2012,Riots,Violent demonstration,Rioters (Kenya),,Kenya,Nairobi,Starehe,Nairobi - Starehe,-1.2881,36.8236,0
KEN3130,2012-02-14,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Turkana,Loima,Loima,2.8558,35.0771,1
KEN3134,2012-02-17,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Nairobi,Dagoretti North,Nairobi - Dagoretti North,-1.2793,36.7789,1
KEN3154,2012-02-28,2012,Riots,Mob violence,Rioters (Kenya),Al Shabaab,Kenya,Mandera,Mandera East,Mandera,3.9357,41.8542,1
KEN3255,2012-06-17,2012,Strategic developments,Looting/property destruction,MRC: Mombasa Republican Council,,Kenya,Kilifi,Malindi,Malindi,-3.22,40.12,0
KEN3254,2012-06-16,2012,Strategic developments,Change to group/activity,Al Shabaab,,Kenya,Lamu,Lamu West,Lamu,-2.2717,40.902,0
KEN3240,2012-06-13,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Narok,Narok North,Narok,-1.0783,35.8601,0
KEN3220,2012-06-01,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Nyamira,Nyamira,Nyamira,-0.5666,34.9167,0
KEN3219,2012-05-30,2012,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Wajir,Wajir East,Wajir,1.75,40.06,1
KEN3218,2012-05-29,2012,Battles,Armed clash,Unidentified Armed Group (Kenya),Police Forces of Kenya (2002-2013),Kenya,Garissa,Dadaab,Liboi,0.3534,40.8723,0
KEN3216,2012-05-26,2012,Explosions/Remote violence,Grenade,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Wajir,Wajir East,Wajir,1.75,40.06,0
KEN3214,2012-05-24,2012,Explosions/Remote violence,Grenade,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Garissa,Fafi,Hagadera Refugee Camp,0.0037,40.3746,0
KEN3208,2012-05-15,2012,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Garissa,Dadaab,Dadaab Refugee Camp,0.0514,40.3142,1
KEN3207,2012-05-14,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Kwale,Matuga,Kwale,-4.1738,39.4521,2
KEN3206,2012-05-08,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Marsabit,North Horr,Jaldesa,4.1935,37.0775,3
KEN3212,2012-05-21,2012,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Kenya),Military Forces of Kenya (2002-2013),Kenya,Mandera,Mandera East,Mandera,3.9357,41.8542,0
KEN3225,2012-06-03,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Mombasa,Nyali,Nyali,-4.0525,39.6954,0
KEN3226,2012-06-05,2012,Battles,Armed clash,Unidentified Armed Group (Kenya),Unidentified Armed Group (Kenya),Kenya,Siaya,Ugunja,Bar Osimbo,0.1667,34.2667,2
KEN3227,2012-06-06,2012,Battles,Armed clash,Unidentified Ethnic Militia (Kenya),Unidentified Ethnic Militia (Kenya),Kenya,Bungoma,Sirisia,Lwakhakha,0.7911,34.3794,0
KEN3231,2012-06-09,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Kiambu,Kiambu Town,Thindigua,-1.2025,36.8314,0
KEN3233,2012-06-10,2012,Protests,Protest with intervention,Protesters (Kenya),Police Forces of Kenya (2002-2013),Kenya,Nyamira,Borabu,Sotik Tea Estate,-0.5862,35.0496,0
KEN3235,2012-06-11,2012,Protests,Protest with intervention,Protesters (Kenya),Police Forces of Kenya (2002-2013),Kenya,Nyamira,Borabu,Sotik Tea Estate,-0.5862,35.0496,0
